Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Social_AEI_Gamma_FCPCA,0.6666666666666666,0.75,0.6,0.6517857142857143,0.7333333333333333,0.8303571428571428,0.8,0.7857142857142857,0.8,0.7321428571428571
Social_AEI_All_FC,0.4666666666666667,0.5892857142857142,0.5333333333333333,0.7053571428571428,0.6666666666666666,0.5803571428571428,0.4666666666666667,0.5178571428571428,0.5333333333333333,0.6875
Social_AEI_All_FCPCA,0.8,0.875,0.5333333333333333,0.5357142857142857,0.4666666666666667,0.6160714285714286,0.8,0.8392857142857143,0.5333333333333333,0.5625
Acute.csv_Delta_FC,0.6153846153846154,0.6111111111111112,0.8461538461538461,0.6388888888888888,0.7692307692307693,0.7638888888888888,0.6923076923076923,0.6388888888888888,0.8461538461538461,0.6666666666666667
Acute.csv_Delta_FCPCA,0.6923076923076923,0.625,0.6923076923076923,0.4444444444444444,0.6923076923076923,0.6527777777777778,0.6923076923076923,0.5833333333333334,0.6923076923076923,0.4861111111111111
Acute.csv_Theta_FC,0.6923076923076923,0.5909090909090909,0.6153846153846154,0.4772727272727273,0.6923076923076923,0.09090909090909094,0.6923076923076923,0.6818181818181818,0.8461538461538461,0.2272727272727273
Acute.csv_Theta_FCPCA,0.8461538461538461,0.5,0.8461538461538461,0.5454545454545454,0.8461538461538461,0.8863636363636364,0.8461538461538461,0.5,0.8461538461538461,0.6363636363636364
Acute.csv_Alpha_FC,0.9230769230769231,1.0,0.7692307692307693,0.9166666666666666,0.8461538461538461,0.85,0.7692307692307693,0.8666666666666666,0.7692307692307693,0.5666666666666667
Acute.csv_Alpha_FCPCA,0.7692307692307693,0.7666666666666666,0.7692307692307693,0.55,0.23076923076923078,0.7166666666666667,0.7692307692307693,0.7333333333333334,0.7692307692307693,0.9
Acute.csv_Beta_FC,0.8461538461538461,0.9166666666666666,0.7692307692307693,0.7916666666666666,0.6923076923076923,0.8055555555555556,0.8461538461538461,0.8888888888888888,0.7692307692307693,0.8194444444444445
Acute.csv_Beta_FCPCA,0.6153846153846154,0.7222222222222222,0.6923076923076923,0.5555555555555556,0.6153846153846154,0.7916666666666667,0.6923076923076923,0.75,0.6923076923076923,0.6944444444444444
Acute.csv_HighBeta_FC,0.8461538461538461,1.0,0.7692307692307693,0.7916666666666666,0.9230769230769231,1.0,0.9230769230769231,0.9166666666666666,0.9230769230769231,1.0
Acute.csv_HighBeta_FCPCA,0.6923076923076923,0.5833333333333333,0.9230769230769231,0.5,0.9230769230769231,1.0,0.6923076923076923,0.75,0.9230769230769231,0.41666666666666663
Acute.csv_Gamma_FC,0.7692307692307693,0.8333333333333333,0.8461538461538461,0.6333333333333333,0.8461538461538461,0.9333333333333333,0.7692307692307693,0.9333333333333333,0.8461538461538461,0.7666666666666666
Acute.csv_Gamma_FCPCA,0.7692307692307693,0.8,0.7692307692307693,0.5,0.6923076923076923,0.3999999999999999,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.5
Acute.csv_All_FC,0.9230769230769231,1.0,0.8461538461538461,0.75,0.8461538461538461,0.9166666666666666,0.9230769230769231,1.0,0.8461538461538461,0.75
Acute.csv_All_FCPCA,0.9230769230769231,0.8333333333333334,0.9230769230769231,0.25,0.38461538461538464,0.8333333333333334,0.9230769230769231,0.9166666666666666,0.9230769230769231,1.0
Panic.csv_Delta_FC,0.75,0.9206349206349207,0.75,0.7777777777777778,0.8125,0.8571428571428571,0.75,0.8888888888888888,0.75,0.9523809523809524
Panic.csv_Delta_FCPCA,0.5625,0.5,0.5625,0.5952380952380953,0.5,0.4206349206349207,0.5625,0.873015873015873,0.5625,0.19047619047619047
